question,query_type,relevance,faithfulness,completeness,coherence,overall_score,verdict,rationale
What caused the recent decline in German housing construction starts?,simple,5,5,5,5,5.0,pass,"The AI response accurately addresses the question, is fully grounded in the provided context, covers all key aspects, and is well-structured and clear."
Which German regions reported the highest bark beetle damage in early 2026?,simple,5,5,5,5,5.0,pass,"The AI response accurately addresses the question, is fully grounded in the retrieved context, covers all key aspects, and is well-structured and clear."
What triggered the drop in German building permit approvals in 2025?,simple,5,5,5,5,5.0,pass,"The AI response accurately addresses the question, is fully grounded in the retrieved context, covers all key aspects, and is well-structured and clear."
How many housing units were approved in Germany in January 2026?,simple,5,5,5,5,5.0,pass,The AI response accurately and comprehensively addresses the question with well-structured and grounded information.
What factors are driving the tight roundwood supply situation in Germany in early 2026?,simple,5,4,5,5,4.75,pass,"The response is relevant, coherent, and complete, but slightly lacks faithfulness due to minor ungrounded claims about regulatory impacts."
Which German sawmill regions have been most affected by weak construction demand in Q1 2026?,simple,5,5,5,5,5.0,pass,"The AI response accurately addresses the question, is fully grounded in the provided context, covers all key aspects, and is well-structured and clear."
What compliance requirement under the EU Deforestation Regulation is causing the most difficulty for German timber exporters in early 2026?,simple,5,5,5,5,5.0,pass,"The response accurately addresses the question, is fully grounded in the provided context, covers all key aspects, and is well-structured and clear."
What has caused spruce roundwood prices to move in Germany in the first two months of 2026?,simple,5,5,5,5,5.0,pass,"The response accurately addresses the question with detailed, well-supported information from the retrieved context."
Which customer segments have reduced timber orders most significantly in Germany in Q1 2026?,simple,5,5,5,5,5.0,pass,"The response accurately addresses the question, is fully grounded in the provided context, covers all key aspects, and is well-structured and clear."
Why are German forest owners struggling to meet sawmill demand for roundwood deliveries in early 2026 despite record prices?,simple,5,5,5,5,5.0,pass,"The AI response accurately addresses the question, is fully grounded in the retrieved context, covers all key aspects, and is well-structured and clear."
Have rising electricity and gas costs affected sawmill operating margins in Germany in Q1 2026?,simple,5,5,5,5,5.0,pass,"The AI response accurately addresses the question, is fully grounded in the provided context, covers all key aspects, and is well-structured and clear."
What timber price movements were reported in Germany in February 2026?,temporal,5,4,5,5,4.75,pass,"The response is relevant, complete, and coherent, but contains minor inaccuracies regarding regional price details."
What were German building permit numbers in January 2026 and what trend was reported?,temporal,5,5,5,5,5.0,pass,"The AI response accurately addresses the question, is fully grounded in the retrieved context, covers all key aspects, and is well-structured and clear."
How did US lumber tariff announcements in January 2026 affect European timber markets?,temporal,4,3,3,4,3.5,pass,"The response addresses the question and is coherent, but it includes some inaccuracies and lacks coverage of short-term US price impacts."
What EUDR deadline changes and industry demands were reported in Germany in Q1 2026,temporal,5,5,5,5,5.0,pass,"The AI response accurately addresses the question, is fully grounded in the retrieved context, covers all key aspects, and is well-structured and clear."
What new German housing construction policies were announced between January and March 2026?,temporal,5,4,4,5,4.5,pass,"The response is relevant, coherent, and mostly faithful, but it misses mentioning the reactivation of the KfW EH55 subsidy programme."
How have industrial energy costs in Germany developed between January and March 2026 and what impact has that had on sawmill production costs?,temporal,5,4,4,5,4.5,pass,"The response is relevant, coherent, and mostly faithful, but it slightly lacks completeness regarding the impact of the Iran conflict on gas prices."
Do German building permit numbers from Q1 2026 point toward a timber demand recovery or continued market weakness?,temporal,5,5,5,5,5.0,pass,"The response directly addresses the question, is fully grounded in the retrieved context, covers all key aspects, and is well-structured and clear."
How have US lumber tariff developments between January and March 2026 affected timber supply and pricing conditions for German market participants?,temporal,5,4,5,5,4.75,pass,"The response is relevant, complete, and coherent, but slightly lacks faithfulness due to minor discrepancies in tariff details."
Which EU Deforestation Regulation deadline is most pressing for German timber companies based on reporting from Q1 2026?,temporal,5,5,5,5,5.0,pass,"The AI response accurately addresses the question, is fully grounded in the retrieved context, covers all key aspects, and is well-structured and clear."
Is wood pellet demand in Germany strong enough in February and March 2026 to absorb current sawmill byproduct volumes?,temporal,5,5,5,5,5.0,pass,"The response accurately addresses the question, is fully grounded in the context, covers all key aspects, and is well-structured and clear."
What single market development between January and March 2026 most significantly affected German softwood timber prices?,temporal,5,5,5,5,5.0,pass,"The response accurately addresses the question, is fully grounded in the provided context, covers all key aspects, and is well-structured and clear."
Have storm events in Germany during Q1 2026 disrupted roundwood procurement for sawmills?,temporal,5,5,5,5,5.0,pass,"The response accurately addresses the question, is fully grounded in the provided context, covers all key aspects, and is well-structured and clear."
How did European Central Bank interest rate decisions in early 2026 affect mortgage lending conditions in Germany and what impact has that had on structural timber demand?,multi_hop,5,5,5,5,5.0,pass,"The response accurately addresses the question, is well-supported by the retrieved context, and covers all key aspects of the ground truth."
How has bark beetle damage reduced usable spruce quality in German forests and how has that affected sawmill input costs in Q1 2026?,multi_hop,5,5,5,5,5.0,pass,The response accurately addresses the question with well-supported claims and covers all key aspects from the ground truth in a clear and professional manner.
